contour.ID,xrT,yrT,xlT,ylT
20,6633.5565,4467.372,5314.209,4541.01
20,6658.1025,4473.5085,5295.7995,4541.01
20,6670.3755,4479.6449999999995,5283.5265,4553.282999999999
20,6688.785,4479.6449999999995,5265.117,4559.4195
20,6676.512,4504.191,5277.389999999999,4577.829
20,6670.3755,4504.191,5283.5265,4571.6925
20,6658.1025,4504.191,5295.7995,4571.6925
20,6633.5565,4498.0545,5314.209,4571.6925
20,6621.2835,4498.0545,5326.482,4565.556
20,6609.010499999999,4498.0545,5338.755,4565.556
20,6602.874,4498.0545,5351.028,4565.556
20,6590.601,4498.0545,5369.4375,4559.4195
20,6566.054999999999,4498.0545,5381.7105,4559.4195
20,6553.782,4498.0545,5393.9835,4559.4195
20,6541.509,4498.0545,5400.12,4559.4195
20,6535.3724999999995,4498.0545,5412.393,4559.4195
20,6523.0995,4498.0545,5424.666,4553.282999999999
20,6510.8265,4510.3275,5436.939,4565.556
20,6486.2805,4510.3275,5455.3485,4559.4195
20,6474.0075,4510.3275,5467.6215,4559.4195
20,6461.7345,4516.464,5479.894499999999,4571.6925
20,6455.598,4516.464,5486.031,4565.556
20,6443.325,4528.737,5498.304,4577.829
20,6431.052,4528.737,5510.577,4577.829
20,6418.7789999999995,4528.737,5522.849999999999,4577.829
20,6406.505999999999,4541.01,5528.9865,4583.9655
20,6394.233,4547.1465,5541.2595,4590.102
20,6388.0965,4547.1465,5565.8054999999995,4590.102
20,6363.5505,4559.4195,5571.942,4602.375
20,6351.2775,4559.4195,5584.215,4596.2384999999995
20,6339.0045,4571.6925,5596.488,4608.5115
20,6326.7315,4577.829,5608.7609999999995,4614.648
20,6320.595,4590.102,5614.8975,4626.921
20,6308.322,4590.102,5627.1705,4626.921
20,6283.776,4602.375,5651.7164999999995,4633.0575
20,6271.503,4608.5115,5657.853,4645.3305
20,6259.23,4620.7845,5670.126,4651.467
20,6259.23,4620.7845,5670.126,4651.467
21,6958.791,4516.464,5007.384,4614.648
21,6946.518,4516.464,5019.657,4614.648
21,6928.1085,4504.191,5044.2029999999995,4602.375
21,6915.8355,4491.918,5050.3395,4590.102
21,6903.5625,4479.6449999999995,5062.6125,4577.829
21,6891.2895,4479.6449999999995,5081.022,4571.6925
21,6872.88,4467.372,5093.295,4559.4195
21,6860.607,4455.099,5105.568,4547.1465
21,6848.334,4448.9625,5111.7045,4534.8735
21,6836.061,4436.6894999999995,5123.9775,4522.6005
21,6817.6515,4424.4165,5142.387,4510.3275
21,6805.3785,4412.1435,5154.66,4498.0545
21,6793.1055,4399.8705,5166.933,4485.7815
21,6780.8324999999995,4393.7339999999995,5173.0695,4473.5085
21,6774.696,4393.7339999999995,5185.3425,4473.5085
21,6762.423,4381.461,5197.6155,4461.2355
21,6737.8769999999995,4369.188,5216.025,4448.9625
21,6713.331,4350.778499999999,5240.571,4424.4165
21,6707.1945,4326.2325,5258.9805,4399.8705
21,6682.6485,4307.823,5271.2535,4381.461
21,6664.239,4283.277,5289.663,4356.915
21,6639.693,4264.8675,5314.209,4332.369
21,6627.42,4240.3215,5320.345499999999,4313.9595
21,6609.010499999999,4221.912,5344.8915,4289.4135
21,6596.7375,4197.366,5357.1645,4264.8675
21,6584.4645,4178.9565,5363.3009999999995,4246.458
21,6559.9185,4160.547,5387.847,4221.912
21,6553.782,4136.001,5400.12,4197.366
21,6541.509,4117.5914999999995,5406.2564999999995,4178.9565
21,6529.236,4086.909,5418.5295,4148.274
21,6523.0995,4062.363,5430.8025,4123.728
21,6510.8265,4043.9535,5443.0755,4105.3185
21,6498.5535,4013.2709999999997,5449.2119999999995,4068.4995
21,6498.5535,3988.725,5449.2119999999995,4050.0899999999997
21,6486.2805,3970.3154999999997,5461.485,4025.544
21,6480.144,3939.633,5473.758,3994.8615
21,6480.144,3921.2235,5486.031,3976.4519999999998
21,6467.871,3890.5409999999997,5486.031,3945.7695
21,6467.871,3865.995,5492.1675,3921.2235
21,6461.7345,3835.3125,5492.1675,3890.5409999999997
21,6461.7345,3816.903,5504.4405,3872.1315
21,6449.461499999999,3786.2205,5504.4405,3841.449
21,6449.461499999999,3761.6745,5504.4405,3816.903
21,6449.461499999999,3730.9919999999997,5516.7135,3786.2205
21,6437.1885,3712.5825,5516.7135,3767.8109999999997
21,6443.325,3681.9,5516.7135,3737.1285
21,6443.325,3651.2174999999997,5516.7135,3706.446
21,6443.325,3632.808,5528.9865,3681.9
21,6431.052,3602.1255,5528.9865,3651.2174999999997
21,6197.865,3823.0395,5762.1735,3847.5854999999997
21,6197.865,3841.449,5762.1735,3865.995
21,6197.865,3859.8585,5749.9005,3884.4045
21,6197.865,3884.4045,5749.9005,3908.9505
21,6197.865,3902.814,5749.9005,3927.3599999999997
21,6197.865,3921.2235,5749.9005,3945.7695
21,6197.865,3945.7695,5749.9005,3970.3154999999997
21,6197.865,3964.179,5749.9005,3988.725
21,6204.001499999999,3982.5885,5737.6275,4013.2709999999997
21,6204.001499999999,4007.1345,5737.6275,4031.6805
21,6204.001499999999,4025.544,5737.6275,4050.0899999999997
21,6216.2744999999995,4043.9535,5725.3544999999995,4074.636
21,6216.2744999999995,4068.4995,5725.3544999999995,4093.0454999999997
21,6228.5475,4086.909,5713.0815,4117.5914999999995
21,6234.684,4105.3185,5700.8085,4136.001
21,6246.956999999999,4129.8645,5694.672,4160.547
21,6246.956999999999,4136.001,5694.672,4166.6835
21,6259.23,4160.547,5682.398999999999,4191.2294999999995
21,6271.503,4166.6835,5670.126,4203.5025
21,6277.6395,4178.9565,5657.853,4209.639
21,6289.912499999999,4197.366,5645.58,4234.1849999999995
21,6302.1855,4209.639,5645.58,4246.458
21,6302.1855,4221.912,5639.443499999999,4252.5945
21,6314.4585,4240.3215,5627.1705,4277.1404999999995
21,6332.8679999999995,4252.5945,5614.8975,4289.4135
21,6345.141,4258.731,5602.6245,4301.6865
21,6357.414,4271.004,5584.215,4313.9595
21,6369.687,4289.4135,5571.942,4332.369
21,6375.8234999999995,4301.6865,5559.669,4344.642
21,6388.0965,4313.9595,5547.396,4356.915
21,6400.3695,4320.096,5541.2595,4369.188
21,6424.9155,4332.369,5516.7135,4381.461
21,6431.052,4344.642,5504.4405,4393.7339999999995
21,6443.325,4363.0515,5498.304,4412.1435
21,6467.871,4375.3245,5486.031,4424.4165
21,6480.144,4381.461,5461.485,4436.6894999999995
21,6486.2805,4393.7339999999995,5455.3485,4448.9625
21,6510.8265,4406.007,5430.8025,4461.2355
21,6523.0995,4418.28,5424.666,4473.5085
